SEN No.,Batch id,Batch No,Class Commencement Date,Assessment Date,Excel,Excel %Score,Assessment Date,Power BI,Power BI %Score,Assessment Date,SQL,SQL %Score,Assessment Date,Statistics,Statistics %Score,Assessment Date,Python,Python %Score,Assessment Date,Machine Learning,Machine Learning %Score,Assessment Date,AWS,AWS %Score,Assessment Date,Deep Learning,Deep Learning %Score,Assessment Date,NLP,NLP %Score,Total Marks,Pass Rate,Total Avg %,Pass/Fail
GL082020000,GL-B01,1,07/12/2020,29/12/2020,46,76.67,29/03/2021,24,40.00,29/04/2021,39,65.00,29/05/2021,20,33.33,29/06/2021,55,91.67,29/07/2021,19,31.67,29/08/2021,52,86.67,29/09/2021,49,81.67,29/10/2021,28,46.67,60,40,61.48,Pass
GL082020001,GL-B01,1,07/12/2020,29/12/2020,46,76.67,29/03/2021,24,40.00,29/04/2021,39,65.00,29/05/2021,20,33.33,29/06/2021,55,91.67,29/07/2021,19,31.67,29/08/2021,52,86.67,29/09/2021,49,81.67,29/10/2021,28,46.67,60,40,61.48,Pass
GL122020003,GL-B01,1,07/12/2020,29/12/2020,43,71.67,29/03/2021,11,18.33,29/04/2021,50,83.33,29/05/2021,22,36.67,29/06/2021,12,20.00,29/07/2021,37,61.67,29/08/2021,45,75.00,29/09/2021,42,70.00,29/10/2021,25,41.67,60,40,53.15,Pass
GL122020004,GL-B01,1,07/12/2020,29/12/2020,43,71.67,29/03/2021,23,38.33,29/04/2021,28,46.67,29/05/2021,50,83.33,29/06/2021,30,50.00,29/07/2021,45,75.00,29/08/2021,42,70.00,29/09/2021,33,55.00,29/10/2021,53,88.33,60,40,64.26,Pass
GL012021006,GL-B01,1,07/12/2020,29/12/2020,25,41.67,29/03/2021,55,91.67,29/04/2021,46,76.67,29/05/2021,25,41.67,29/06/2021,29,48.33,29/07/2021,43,71.67,29/08/2021,51,85.00,29/09/2021,22,36.67,29/10/2021,29,48.33,60,40,60.19,Pass
GL0120211881,GL-B01,1,07/12/2020,29/12/2020,23,38.33,29/03/2021,43,71.67,29/04/2021,54,90.00,29/05/2021,57,95.00,29/06/2021,24,40.00,29/07/2021,22,36.67,29/08/2021,26,43.33,29/09/2021,29,48.33,29/10/2021,51,85.00,60,40,60.93,Pass
GL012021007,GL-B01,1,07/12/2020,29/12/2020,28,46.67,29/03/2021,25,41.67,29/04/2021,34,56.67,29/05/2021,59,98.33,29/06/2021,15,25.00,29/07/2021,54,90.00,29/08/2021,13,21.67,29/09/2021,33,55.00,29/10/2021,30,50.00,60,40,53.89,Pass
GL012021008,GL-B01,1,07/12/2020,29/12/2020,21,35.00,29/03/2021,45,75.00,29/04/2021,42,70.00,29/05/2021,45,75.00,29/06/2021,60,100.00,29/07/2021,56,93.33,29/08/2021,34,56.67,29/09/2021,19,31.67,29/10/2021,10,16.67,60,40,61.48,Pass
GL022021011,GL-B02,2,01/03/2021,29/03/2021,6,10.00,29/04/2021,58,96.67,29/05/2021,56,93.33,29/06/2021,55,91.67,29/07/2021,18,30.00,29/08/2021,42,70.00,29/09/2021,4,6.67,29/10/2021,42,70.00,29/11/2021,22,36.67,60,40,56.11,Pass
GL022021013,GL-B02,2,01/03/2021,29/03/2021,56,93.33,29/04/2021,26,43.33,29/05/2021,10,16.67,29/06/2021,28,46.67,29/07/2021,36,60.00,29/08/2021,32,53.33,29/09/2021,33,55.00,29/10/2021,16,26.67,29/11/2021,5,8.33,60,40,44.81,Fail
GL022021014,GL-B02,2,01/03/2021,29/03/2021,44,73.33,29/04/2021,17,28.33,29/05/2021,5,8.33,29/06/2021,49,81.67,29/07/2021,45,75.00,29/08/2021,20,33.33,29/09/2021,12,20.00,29/10/2021,12,20.00,29/11/2021,54,90.00,60,40,47.78,Fail
GL022021016,GL-B02,2,01/03/2021,29/03/2021,54,90.00,29/04/2021,29,48.33,29/05/2021,48,80.00,29/06/2021,15,25.00,29/07/2021,1,1.67,29/08/2021,15,25.00,29/09/2021,33,55.00,29/10/2021,50,83.33,29/11/2021,43,71.67,60,40,53.33,Pass
GL022021017,GL-B02,2,01/03/2021,29/03/2021,26,43.33,29/04/2021,59,98.33,29/05/2021,53,88.33,29/06/2021,35,58.33,29/07/2021,26,43.33,29/08/2021,52,86.67,29/09/2021,58,96.67,29/10/2021,28,46.67,29/11/2021,18,30.00,60,40,65.74,Pass
GL032021018,GL-B02,2,01/03/2021,29/03/2021,46,76.67,29/04/2021,42,70.00,29/05/2021,20,33.33,29/06/2021,53,88.33,29/07/2021,44,73.33,29/08/2021,14,23.33,29/09/2021,23,38.33,29/10/2021,37,61.67,29/11/2021,11,18.33,60,40,53.70,Pass
GL032021019,GL-B02,2,01/03/2021,29/03/2021,22,36.67,29/04/2021,3,5.00,29/05/2021,53,88.33,29/06/2021,3,5.00,29/07/2021,37,61.67,29/08/2021,54,90.00,29/09/2021,32,53.33,29/10/2021,56,93.33,29/11/2021,38,63.33,60,40,55.19,Pass
GL032021024,GL-B03,3,19/04/2021,20/05/2021,25,41.67,20/06/2021,55,91.67,20/07/2021,16,26.67,20/06/2021,52,86.67,20/06/2021,36,60.00,20/06/2021,40,66.67,20/06/2021,47,78.33,20/06/2021,9,15.00,20/06/2021,42,70.00,60,40,59.63,Pass
GL032021026,GL-B03,3,19/04/2021,20/05/2021,60,100.00,20/06/2021,14,23.33,20/07/2021,19,31.67,20/08/2021,13,21.67,20/09/2021,37,61.67,20/10/2021,25,41.67,20/11/2021,32,53.33,20/12/2021,35,58.33,20/01/2022,33,55.00,60,40,49.63,Fail
GL042021034,GL-B03,3,19/04/2021,20/05/2021,27,45.00,20/06/2021,17,28.33,20/07/2021,21,35.00,20/08/2021,36,60.00,20/09/2021,46,76.67,20/10/2021,57,95.00,20/11/2021,26,43.33,20/12/2021,55,91.67,20/01/2022,53,88.33,60,40,62.59,Pass
