SEN No.,Batch id,Batch No,Class Commencement Date,Dec,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Total hrs spent
GL082020000,GL-B01,1,07/12/2020,40,16,34,14,13,30,29,27,31,23,36,20,313
GL082020001,GL-B01,1,07/12/2020,23,36,40,36,11,26,15,33,22,18,19,39,318
GL122020003,GL-B01,1,07/12/2020,17,37,14,24,40,29,27,33,10,38,32,24,325
GL122020004,GL-B01,1,07/12/2020,16,29,32,30,26,24,27,14,35,17,29,33,312
GL012021006,GL-B01,1,07/12/2020,32,40,23,10,38,16,39,12,34,39,18,40,341
GL0120211881,GL-B01,1,07/12/2020,13,30,32,16,29,26,39,40,29,14,19,39,326
GL012021007,GL-B01,1,07/12/2020,19,33,40,19,17,28,20,30,11,38,30,38,323
GL012021008,GL-B01,1,07/12/2020,35,11,29,19,26,14,40,17,20,18,36,30,295
GL022021011,GL-B02,2,01/03/2021,27,38,32,11,28,13,21,25,20,24,31,18,288
GL022021012,GL-B02,2,01/03/2021,39,20,10,35,19,18,19,10,16,21,18,28,253
GL022021013,GL-B02,2,01/03/2021,22,14,11,13,38,18,35,31,18,31,16,38,285
GL022021014,GL-B02,2,01/03/2021,26,28,17,17,24,20,38,18,26,18,13,32,277
GL022021014,GL-B02,2,01/03/2021,18,10,14,28,38,11,12,36,28,12,15,29,251
GL022021016,GL-B02,2,01/03/2021,29,26,38,29,37,33,36,34,16,38,18,22,356
GL022021017,GL-B02,2,01/03/2021,16,17,37,34,31,32,18,13,39,31,40,32,340
GL032021018,GL-B03,3,19/04/2021,39,27,14,13,35,26,27,28,30,12,36,17,304
GL032021019,GL-B03,3,19/04/2021,10,14,29,28,25,36,30,34,25,35,28,14,308
GL032021024,GL-B03,3,19/04/2021,33,28,28,38,29,11,10,19,27,31,14,38,306
GL032021026,GL-B03,3,19/04/2021,11,36,26,39,22,22,23,38,40,23,13,26,319
GL042021034,GL-B04,4,04/05/2021,32,30,36,19,12,25,30,32,26,17,10,35,304
GL012021009,GL-B04,4,04/05/2021,15,34,32,10,10,13,13,27,30,17,33,22,256
GL012021010,GL-B04,4,04/05/2021,30,35,39,39,16,36,19,13,30,27,15,12,311
GL052021037,GL-B04,4,04/05/2021,31,31,13,17,36,15,32,21,36,40,33,36,341
GL042021028,GL-B04,4,04/05/2021,24,10,30,31,37,19,14,29,24,13,30,28,289
GL042021032,GL-B04,4,04/05/2021,35,10,16,19,27,21,12,20,15,15,17,39,246
GL052021043,GL-B04,4,04/05/2021,18,22,18,29,14,28,35,23,25,23,17,17,269
GL032021023,GL-B04,4,04/05/2021,21,21,36,11,18,12,21,22,24,16,19,30,251
GL042021030,GL-B04,4,04/05/2021,36,36,39,19,32,39,15,27,33,16,21,22,335
GL042021033,GL-B04,4,04/05/2021,29,28,32,11,20,30,11,15,11,18,22,11,238
GL032021022,GL-B04,4,04/05/2021,35,24,31,17,12,14,20,22,13,37,29,22,276
