SEN No.,Batch No,Lms engagement throughout course,Class Commencement Date,Class End Date,Total time enrolled,Total observed time,Retention Rate
GL082020000,1,313,07/12/2020,07/10/2021,304,-13,-23.38
GL082020001,1,318,07/12/2020,07/10/2021,304,-18,-16.89
GL122020003,1,325,07/12/2020,07/10/2021,304,-25,-12.16
GL122020004,1,312,07/12/2020,07/10/2021,304,-12,-25.33
GL012021006,1,341,07/12/2020,07/10/2021,304,-41,-7.41
GL0120211881,1,326,07/12/2020,07/10/2021,304,-26,-11.69
GL012021007,1,323,07/12/2020,07/10/2021,304,-23,-13.22
GL012021008,1,295,07/12/2020,07/10/2021,304,5,60.80
GL022021011,2,288,01/03/2021,01/01/2022,306,12,25.50
GL022021012,2,253,01/03/2021,01/01/2022,306,47,6.51
GL022021013,2,285,01/03/2021,01/01/2022,306,15,20.40
GL022021014,2,277,01/03/2021,01/01/2022,306,23,13.30
GL022021014,2,277,01/03/2021,01/01/2022,306,23,13.30
GL022021016,2,356,01/03/2021,01/01/2022,306,-56,-5.46
GL022021017,2,340,01/03/2021,01/01/2022,306,-40,-7.65
GL032021018,2,304,01/03/2021,01/01/2022,306,-4,-76.50
GL032021019,2,308,01/03/2021,01/01/2022,306,-8,-38.25
GL032021024,3,306,19/04/2021,19/02/2022,306,-6,-51.00
GL032021026,3,319,19/04/2021,19/02/2022,306,-19,-16.11
GL042021034,3,304,19/04/2021,19/02/2022,306,-4,-76.50
GL012021009,3,256,19/04/2021,19/02/2022,306,44,6.95
GL012021010,4,311,04/05/2021,04/03/2022,304,-11,-27.64
GL052021037,4,341,04/05/2021,04/03/2022,304,-41,-7.41
GL042021028,4,289,04/05/2021,04/03/2022,304,11,27.64
GL042021032,4,246,04/05/2021,04/03/2022,304,54,5.63
GL052021043,4,269,04/05/2021,04/03/2022,304,31,9.81
GL032021023,4,251,04/05/2021,04/03/2022,304,49,6.20
GL042021030,4,335,04/05/2021,04/03/2022,304,-35,-8.69
GL042021033,4,238,04/05/2021,04/03/2022,304,62,4.90
GL032021022,4,276,04/05/2021,04/03/2022,304,24,12.67
NA,4,311,04/05/2021,04/03/2022,304,-11,-27.64
NA,4,311,04/05/2021,04/03/2022,304,-11,-27.64
GL042021031,4,292,04/05/2021,04/03/2022,304,8,38.00
GL032021020,4,256,04/05/2021,04/03/2022,304,44,6.91
GL042021035,4,304,04/05/2021,04/03/2022,304,-4,-76.00
GL042021035,5,304,08/06/2021,08/04/2022,304,-4,-76.00
GL052021039,5,298,08/06/2021,08/04/2022,304,2,152.00
GL052021040,5,325,08/06/2021,08/04/2022,304,-25,-12.16
GL052021044,5,311,08/06/2021,08/04/2022,304,-11,-27.64
GL052021041,5,317,08/06/2021,08/04/2022,304,-17,-17.88
GL052021046,5,311,08/06/2021,08/04/2022,304,-11,-27.64
GL052021045,5,287,08/06/2021,08/04/2022,304,13,23.38
GL052021042,5,287,08/06/2021,08/04/2022,304,13,23.38
GL032021027,5,331,08/06/2021,08/04/2022,304,-31,-9.81
GL062021058,6,286,15/07/2021,15/05/2022,304,14,21.71
NA,6,311,15/07/2021,15/05/2022,304,-11,-27.64
GL062021055,6,307,15/07/2021,15/05/2022,304,-7,-43.43
GL052021049,6,307,15/07/2021,15/05/2022,304,-7,-43.43
NA,6,311,15/07/2021,15/05/2022,304,-11,-27.64
NA,6,311,15/07/2021,15/05/2022,304,-11,-27.64
NA,6,311,15/07/2021,15/05/2022,304,-11,-27.64
GL062021060,6,280,15/07/2021,15/05/2022,304,20,15.20
GL062021056,6,306,15/07/2021,15/05/2022,304,-6,-50.67
GL062021052,6,253,15/07/2021,15/05/2022,304,47,6.47
GL052021050,6,293,15/07/2021,15/05/2022,304,7,43.43
GL072021072,7,321,03/08/2021,03/06/2022,304,-21,-14.48
GL062021061,7,290,03/08/2021,03/06/2022,304,10,30.40
